,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
0,0,0,0,0,0,0.0,1728,11146,8048015
1,8,11,1410,1,1,0.141,188,1201,8048015
2,22,30,336,1,1,0.012463832628533273,738,3181,8048015
3,0,0,0,0,0,0.0,240,665,8048015
4,0,0,0,0,0,0.0,284,764,8048015
5,0,0,0,0,0,0.0,5133,42486,8048015
6,0,0,0,0,0,0.0,119,1020,8048015
7,0,0,0,0,0,0.0,280,2016,8048015
8,0,0,0,0,0,0.0,533,3721,8048015
9,755,6728,7568,2,3,0.28016140376855586,2803,41500,8048015
10,0,0,0,0,0,0.0,325,2412,8048015
11,338,3298,1962,1,1,0.08172275908030656,3176,34225,8048015
12,35,128,717,1,1,0.04477052763034655,955,10373,8048015
13,0,0,0,0,0,0.0,1334,14944,8048015
14,0,0,0,0,0,0.0,219,602,8048015
15,0,0,0,0,0,0.0,139,1711,8048015
16,0,0,0,0,0,0.0,202,3386,8048015
17,0,0,0,0,0,0.0,46,2388,8048015
18,0,0,0,0,0,0.0,145,599,8048015
19,14,16,1068,1,1,0.0485300131776253,1409,4711,8048015
20,65,306,1050,1,2,0.13171098845960863,246,622,8048015
21,0,0,0,0,0,0.0,62,96,8048015
22,0,0,0,0,0,0.0,83,140,8048015
23,0,0,0,0,0,0.0,184,2106,8048015
24,0,0,0,0,0,0.0,202,3315,8048015
25,2500,25919,8856,3,10,0.11213817205662623,15942,204036,8048015
26,0,0,0,0,0,0.0,4254,59778,8048015
27,0,0,0,0,0,0.0,3878,54278,8048015
28,0,0,0,0,0,0.0,51,131,8048015
29,0,0,0,0,0,0.0,35,251,8048015
30,0,0,0,0,0,0.0,59,93,8048015
31,0,0,0,0,0,0.0,828,7985,8048015
32,0,0,0,0,0,0.0,241,3616,8048015
33,0,0,0,0,0,0.0,186,3749,8048015
34,0,0,0,0,0,0.0,100,1612,8048015
35,0,0,0,0,0,0.0,516,3404,8048015
36,0,0,0,0,0,0.0,244,5696,8048015
37,0,0,0,0,0,0.0,439,5099,8048015
38,0,0,0,0,0,0.0,130,172,8048015
39,0,0,0,0,0,0.0,75,4998,8048015
40,0,0,0,0,0,0.0,120,777,8048015
41,0,0,0,0,0,0.0,336,2319,8048015
42,0,0,0,0,0,0.0,152,625,8048015
43,0,0,0,0,0,0.0,51,925,8048015
44,0,0,0,0,0,0.0,173,7179,8048015
45,0,0,0,0,0,0.0,738,12528,8048015
46,192,3768,693,1,1,0.012502706213466119,5622,51736,8048015
47,0,0,0,0,0,0.0,116,322,8048015
48,0,0,0,0,0,0.0,129,5078,8048015
49,0,0,0,0,0,0.0,200,5529,8048015
50,0,0,1143,1,1,0.18048318332543817,183,970,8048015
51,0,0,0,0,0,0.0,6023,73980,8048015
52,0,0,0,0,0,0.0,71,133,8048015
53,0,0,0,0,0,0.0,66,1056,8048015
54,0,0,0,0,0,0.0,235,4032,8048015
55,0,0,0,0,0,0.0,188,1745,8048015
56,0,0,0,0,0,0.0,194,4097,8048015
57,0,0,0,0,0,0.0,151,1810,8048015
58,0,0,0,0,0,0.0,61,97,8048015
59,0,0,0,0,0,0.0,111,1330,8048015
60,0,0,0,0,0,0.0,226,2231,8048015
61,0,0,0,0,0,0.0,171,3641,8048015
62,0,0,0,0,0,0.0,48,198,8048015
63,0,0,0,0,0,0.0,223,1182,8048015
64,0,0,0,0,0,0.0,77,187,8048015
65,0,0,0,0,0,0.0,64,166,8048015
66,0,0,0,0,0,0.0,73,127,8048015
67,0,0,0,0,0,0.0,80,309,8048015
68,155,11885,681,1,1,0.04536975349766822,1048,38495,8048015
69,0,0,0,0,0,0.0,221,2518,8048015
70,489,4114,4610,2,2,0.17063962096535387,2411,22795,8048015
71,0,0,0,0,0,0.0,575,3728,8048015
72,0,0,0,0,0,0.0,754,3295,8048015
73,94,516,693,1,1,0.03155594007558854,1978,17515,8048015
74,0,0,0,0,0,0.0,67,113,8048015
75,0,0,0,0,0,0.0,215,2192,8048015
76,0,0,0,0,0,0.0,71,126,8048015
77,0,0,0,0,0,0.0,303,2388,8048015
78,0,0,0,0,0,0.0,394,2529,8048015
79,0,0,0,0,0,0.0,28,177,8048015
80,20,122,2097,1,2,0.11770979511647488,142,2838,8048015
81,0,0,0,0,0,0.0,1236,71342,8048015
82,0,0,0,0,0,0.0,57,112,8048015
83,0,0,0,0,0,0.0,96,3415,8048015
84,0,0,0,0,0,0.0,50,104,8048015
85,0,0,0,0,0,0.0,205,4771,8048015
86,0,0,0,0,0,0.0,221,7884,8048015
87,0,0,0,0,0,0.0,229,6408,8048015
88,0,0,0,0,0,0.0,198,2343,8048015
89,0,0,0,0,0,0.0,72,128,8048015
90,0,0,0,0,0,0.0,194,2465,8048015
91,0,0,0,0,0,0.0,69,210,8048015
92,0,0,0,0,0,0.0,507,5414,8048015
93,0,0,0,0,0,0.0,239,2766,8048015
94,0,0,0,0,0,0.0,80,1405,8048015
95,0,0,0,0,0,0.0,335,2779,8048015
96,0,0,0,0,0,0.0,61,99,8048015
97,0,0,0,0,0,0.0,550,3846,8048015
98,0,0,0,0,0,0.0,188,4260,8048015
99,0,0,0,0,0,0.0,79,110,8048015
100,21,30,1974,1,1,0.23854984894259817,113,1062,8048015
101,0,0,0,0,0,0.0,536,2653,8048015
102,0,0,0,0,0,0.0,203,3993,8048015
103,0,0,0,0,0,0.0,66,93,8048015
104,0,0,0,0,0,0.0,64,122,8048015
105,0,0,0,0,0,0.0,71,157,8048015
106,0,0,0,0,0,0.0,200,1311,8048015
107,0,0,0,0,0,0.0,302,3122,8048015
108,3,3,1218,1,1,0.09656703401252675,278,1204,8048015
109,0,0,0,0,0,0.0,164,1542,8048015
110,0,0,0,0,0,0.0,208,2678,8048015
111,0,0,0,0,0,0.0,125,2413,8048015
112,0,0,0,0,0,0.0,362,4579,8048015
113,0,0,0,0,0,0.0,90,198,8048015
114,0,0,0,0,0,0.0,69,237,8048015
115,0,0,0,0,0,0.0,260,3657,8048015
116,0,0,0,0,0,0.0,469,5764,8048015
117,0,0,0,0,0,0.0,54,77,8048015
118,0,0,0,0,0,0.0,1154,13766,8048015
119,0,0,0,0,0,0.0,167,14244,8048015
120,0,0,0,0,0,0.0,2288,43442,8048015
121,0,0,0,0,0,0.0,256,1827,8048015
122,0,0,0,0,0,0.0,60,159,8048015
123,0,0,0,0,0,0.0,68,163,8048015
124,0,0,0,0,0,0.0,274,2029,8048015
125,40,84,486,1,1,0.025601854290681136,1196,7405,8048015
126,0,0,0,0,0,0.0,616,1829,8048015
127,0,0,0,0,0,0.0,1033,21640,8048015
128,1690,5765,11667,4,9,0.16427535517663788,9393,81925,8048015
129,0,0,0,0,0,0.0,581,1764,8048015
130,587,55294,2094,1,2,0.026697946017620135,15024,531557,8048015
131,24,38,1967,1,1,0.1453484075962462,196,820,8048015
132,0,0,0,0,0,0.0,97,638,8048015
133,40,77,2883,2,2,0.15982038915682686,422,1272,8048015
134,0,0,0,0,0,0.0,87,186,8048015
135,0,0,0,0,0,0.0,191,3092,8048015
136,0,0,0,0,0,0.0,19,1857,8048015
137,0,0,0,0,0,0.0,77,187,8048015
138,0,0,0,0,0,0.0,227,3044,8048015
139,0,0,0,0,0,0.0,78,120,8048015
140,0,0,0,0,0,0.0,173,4062,8048015
141,0,0,0,0,0,0.0,623,22098,8048015
142,0,0,0,0,0,0.0,407,2503,8048015
143,0,0,0,0,0,0.0,198,1763,8048015
144,0,0,0,0,0,0.0,201,1925,8048015
145,0,0,0,0,0,0.0,474,2744,8048015
146,0,0,0,0,0,0.0,61,93,8048015
147,0,0,0,0,0,0.0,78,127,8048015
148,0,0,0,0,0,0.0,1171,18336,8048015
149,0,0,0,0,0,0.0,78,145,8048015
150,0,0,0,0,0,0.0,397,2600,8048015
151,0,0,0,0,0,0.0,33,99,8048015
152,0,0,0,0,0,0.0,62,95,8048015
153,0,0,0,0,0,0.0,63,101,8048015
154,0,0,0,0,0,0.0,171,6091,8048015
155,0,0,0,0,0,0.0,407,2844,8048015
156,0,0,0,0,0,0.0,195,1906,8048015
157,0,0,0,0,0,0.0,104,66205,8048015
158,0,0,0,0,0,0.0,446,2878,8048015
159,0,0,0,0,0,0.0,224,2519,8048015
160,0,0,0,0,0,0.0,625,3314,8048015
161,0,0,0,0,0,0.0,85,175,8048015
162,0,0,0,0,0,0.0,250,1856,8048015
163,0,0,0,0,0,0.0,133,1503,8048015
164,0,0,0,0,0,0.0,316,2451,8048015
165,0,0,0,0,0,0.0,350,3227,8048015
166,0,0,0,0,0,0.0,1152,22060,8048015
167,0,0,0,0,0,0.0,149,192,8048015
168,0,0,0,0,0,0.0,428,2387,8048015
169,0,0,0,0,0,0.0,435,3689,8048015
170,0,0,0,0,0,0.0,168,3408,8048015
171,2320,43080,13885,4,16,0.15262938046871566,12299,178737,8048015
172,0,0,0,0,0,0.0,3079,45485,8048015
173,0,0,0,0,0,0.0,1051,7354,8048015
174,0,0,0,0,0,0.0,74,123,8048015
175,0,0,0,0,0,0.0,496,1517,8048015
176,0,0,0,0,0,0.0,1416,11747,8048015
177,20,25,1974,1,1,0.2509534706331045,56,72,8048015
178,0,0,0,0,0,0.0,74,158,8048015
179,0,0,0,0,0,0.0,71,151,8048015
180,0,0,0,0,0,0.0,175,1949,8048015
181,0,0,0,0,0,0.0,84,267,8048015
182,0,0,0,0,0,0.0,2795,13502,8048015
183,4,4,309,1,1,0.03504593399115345,447,2915,8048015
184,343,3559,3249,1,4,0.11621834311060238,2992,21465,8048015
185,0,0,0,0,0,0.0,61,92,8048015
186,0,0,0,0,0,0.0,61,464,8048015
187,4636,87783,22861,1,17,0.158828637926842,21898,330851,8048015
188,0,0,0,0,0,0.0,585,2037,8048015
189,0,0,0,0,0,0.0,26,4381,8048015
190,0,0,0,0,0,0.0,57,104,8048015
191,0,0,0,0,0,0.0,82,666,8048015
192,0,0,0,0,0,0.0,196,588,8048015
193,0,0,0,0,0,0.0,408,2311,8048015
194,0,0,0,0,0,0.0,177,1847,8048015
195,0,0,0,0,0,0.0,307,11663,8048015
196,0,0,0,0,0,0.0,240,3463,8048015
197,0,0,0,0,0,0.0,397,1739,8048015
198,23,70,486,1,1,0.022136187656570258,1263,8584,8048015
199,0,0,0,0,0,0.0,790,6478,8048015
200,0,0,0,0,0,0.0,184,2737,8048015
201,0,0,0,0,0,0.0,76,308,8048015
202,0,0,0,0,0,0.0,167,2382,8048015
203,0,0,0,0,0,0.0,188,2659,8048015
204,0,0,0,0,0,0.0,256,1510,8048015
205,0,0,0,0,0,0.0,74,121,8048015
206,0,0,0,0,0,0.0,440,3525,8048015
207,0,0,0,0,0,0.0,217,1777,8048015
208,0,0,0,0,0,0.0,57,93,8048015
209,0,0,0,0,0,0.0,256,17968,8048015
210,0,0,0,0,0,0.0,223,2900,8048015
211,50,159,1965,1,2,0.14122466580422596,658,4049,8048015
212,1908,59731,11242,4,15,0.09396051685806463,18667,400905,8048015
213,0,0,0,0,0,0.0,211,2455,8048015
214,0,0,0,0,0,0.0,1211,18523,8048015
215,14,16,1455,1,1,0.11383195118134877,220,473,8048015
216,0,0,0,0,0,0.0,267,883,8048015
217,1,1,252,1,1,0.028432810560758207,467,2303,8048015
218,0,0,0,0,0,0.0,333,1107,8048015
219,0,0,0,0,0,0.0,2631,12738,8048015
220,0,0,0,0,0,0.0,1233,4400,8048015
221,79,184,1009,1,2,0.05312763268744734,985,3362,8048015
222,0,0,0,0,0,0.0,924,5992,8048015
223,0,0,0,0,0,0.0,314,3034,8048015
224,0,0,0,0,0,0.0,79,119,8048015
225,20,65,1962,1,1,0.12074589205489569,215,499,8048015
226,0,0,0,0,0,0.0,122,478,8048015
227,0,0,0,0,0,0.0,384,2233,8048015
228,0,0,0,0,0,0.0,65,292,8048015
229,0,0,0,0,0,0.0,65,190,8048015
230,0,0,0,0,0,0.0,52,294,8048015
231,0,0,0,0,0,0.0,58,377,8048015
232,0,0,0,0,0,0.0,132,1100,8048015
233,0,0,0,0,0,0.0,73,328,8048015
234,0,0,0,0,0,0.0,52,488,8048015
235,27,40,1263,2,2,0.12598503740648379,442,1571,8048015
236,0,0,0,0,0,0.0,476,1429,8048015
237,0,0,0,0,0,0.0,213,4300,8048015
238,0,0,0,0,0,0.0,63,466,8048015
239,0,0,0,0,0,0.0,56,488,8048015
240,0,0,0,0,0,0.0,41,186,8048015
241,0,0,0,0,0,0.0,27,150,8048015
242,0,0,0,0,0,0.0,44,157,8048015
243,0,0,0,0,0,0.0,182,8506,8048015
244,0,0,0,0,0,0.0,267,2770,8048015
245,0,0,0,0,0,0.0,220,3420,8048015
246,0,0,0,0,0,0.0,65,618,8048015
247,0,0,0,0,0,0.0,217,1812,8048015
248,0,0,0,0,0,0.0,75,595,8048015
249,9,31,829,1,1,0.08294147073536769,752,9891,8048015
250,0,0,0,0,0,0.0,241,2434,8048015
251,0,0,0,0,0,0.0,523,12460,8048015
252,25,36,1962,1,1,0.1159368906222301,247,1103,8048015
253,0,0,0,0,0,0.0,623,5259,8048015
254,0,0,0,0,0,0.0,468,2737,8048015
255,0,0,0,0,0,0.0,146,1094,8048015
256,0,0,0,0,0,0.0,76,152,8048015
257,0,0,0,0,0,0.0,64,111,8048015
258,0,0,0,0,0,0.0,68,163,8048015
259,17,91,453,1,1,0.0700479356734189,350,11259,8048015
260,0,0,0,0,0,0.0,152,229,8048015
261,0,0,0,0,0,0.0,210,3544,8048015
262,0,0,0,0,0,0.0,329,1936,8048015
263,223,870,1113,1,2,0.05318233944954128,1375,6251,8048015
264,0,0,0,0,0,0.0,1673,15628,8048015
265,0,0,0,0,0,0.0,56,89,8048015
266,0,0,0,0,0,0.0,68,89,8048015
267,360,3475,1962,1,1,0.13061713600958658,2186,32653,8048015
268,31,58,1962,1,1,0.1255840747615695,240,531,8048015
269,0,0,0,0,0,0.0,430,6316,8048015
270,0,0,0,0,0,0.0,413,2533,8048015
271,331,2277,1962,1,1,0.12490450725744844,2205,29960,8048015
272,0,0,0,0,0,0.0,2211,14193,8048015
273,0,0,0,0,0,0.0,597,4736,8048015
274,51,209,336,1,1,0.017692591227423518,2302,17855,8048015
275,0,0,0,0,0,0.0,858,6100,8048015
276,0,0,0,0,0,0.0,93,378,8048015
277,0,0,0,0,0,0.0,55,2208,8048015
278,0,0,0,0,0,0.0,203,2200,8048015
279,0,0,0,0,0,0.0,219,3450,8048015
280,25,29,1962,1,1,0.1487603305785124,225,415,8048015
281,0,0,0,0,0,0.0,219,1834,8048015
282,0,0,0,0,0,0.0,1124,13708,8048015
283,0,0,0,0,0,0.0,24,53,8048015
284,0,0,0,0,0,0.0,192,2831,8048015
285,0,0,0,0,0,0.0,123,238,8048015
286,0,0,0,0,0,0.0,106,167,8048015
287,0,0,0,0,0,0.0,62,83,8048015
288,0,0,0,0,0,0.0,69,180,8048015
289,0,0,0,0,0,0.0,182,4481,8048015
290,0,0,0,0,0,0.0,137,1725,8048015
291,0,0,0,0,0,0.0,66,86,8048015
292,27,38,1974,1,1,0.13145102217486848,601,4483,8048015
293,0,0,0,0,0,0.0,208,1570,8048015
294,0,0,0,0,0,0.0,371,1137,8048015
295,0,0,0,0,0,0.0,190,867,8048015
296,0,0,0,0,0,0.0,159,2475,8048015
297,0,0,0,0,0,0.0,143,1019,8048015
298,0,0,0,0,0,0.0,165,6911,8048015
299,0,0,0,0,0,0.0,311,3004,8048015
300,69,309,1137,1,2,0.22658429653248305,377,1926,8048015
301,0,0,0,0,0,0.0,527,3615,8048015
302,370,6363,2175,3,3,0.06797724715589448,3411,26114,8048015
303,0,0,0,0,0,0.0,70,125,8048015
304,0,0,0,0,0,0.0,45,129,8048015
305,0,0,0,0,0,0.0,34,87,8048015
306,0,0,0,0,0,0.0,219,2466,8048015
307,3885,44314,13305,4,12,0.1232263920275627,17327,177039,8048015
308,2059,9148,26531,4,20,0.264387288363611,6802,40195,8048015
309,0,0,0,0,0,0.0,501,3631,8048015
310,0,0,0,0,0,0.0,245,858,8048015
311,0,0,0,0,0,0.0,53,78,8048015
312,15,19,1974,1,1,0.29918157017277963,57,130,8048015
313,0,0,0,0,0,0.0,81,240,8048015
314,0,0,0,0,0,0.0,79,131,8048015
315,337,6010,2412,1,3,0.04498992762814295,6006,83851,8048015
316,0,0,0,0,0,0.0,1748,18698,8048015
317,351,3878,1937,1,1,0.13236299029656964,2275,39318,8048015
318,25,62,1962,1,1,0.11647373107747105,268,979,8048015
319,0,0,0,0,0,0.0,295,3522,8048015
320,1728,21855,10081,4,14,0.08138962223783111,17922,349776,8048015
321,0,0,0,0,0,0.0,1331,26823,8048015
322,0,0,0,0,0,0.0,93,217,8048015
323,0,0,0,0,0,0.0,167,454,8048015
324,10,14,348,1,1,0.04354354354354354,336,2070,8048015
325,0,0,0,0,0,0.0,20,3035,8048015
326,0,0,0,0,0,0.0,2215,27709,8048015
327,0,0,0,0,0,0.0,66,291,8048015
328,0,0,0,0,0,0.0,383,1009,8048015
329,335,846,8664,4,8,0.11248149975333005,5461,29976,8048015
330,0,0,0,0,0,0.0,309,554,8048015
331,243,1178,2737,1,4,0.09434352486987695,1182,6623,8048015
332,0,0,0,0,0,0.0,285,2067,8048015
333,0,0,0,0,0,0.0,65,91,8048015
334,0,0,0,0,0,0.0,105,817,8048015
335,170,855,1677,1,2,0.045420074752180274,2679,19197,8048015
336,0,0,0,0,0,0.0,197,2876,8048015
337,0,0,0,0,0,0.0,58,226,8048015
338,0,0,0,0,0,0.0,67,102,8048015
339,0,0,0,0,0,0.0,270,666,8048015
340,0,0,0,0,0,0.0,172,972,8048015
341,0,0,0,0,0,0.0,82,136,8048015
342,0,0,0,0,0,0.0,144,1778,8048015
343,0,0,0,0,0,0.0,205,2938,8048015
344,499,5790,1880,1,1,0.20868020868020867,1474,16512,8048015
345,499,4844,1657,1,1,0.1161665731912507,2150,14873,8048015
346,0,0,0,0,0,0.0,482,6349,8048015
347,0,0,0,0,0,0.0,574,1842,8048015
348,400,1501,3170,2,4,0.22646092298899842,1201,4279,8048015
349,0,0,0,0,0,0.0,538,2395,8048015
350,0,0,0,0,0,0.0,131,353,8048015
351,0,0,0,0,0,0.0,267,2699,8048015
352,18,25,1972,1,1,0.2544844496064008,72,163,8048015
353,0,0,0,0,0,0.0,37,1610,8048015
354,0,0,0,0,0,0.0,51,117,8048015
355,0,0,0,0,0,0.0,129,1691,8048015
356,0,0,0,0,0,0.0,62,99,8048015
357,0,0,0,0,0,0.0,316,2966,8048015
358,0,0,0,0,0,0.0,48,218,8048015
359,0,0,0,0,0,0.0,210,5443,8048015
360,0,0,0,0,0,0.0,17,48,8048015
361,0,0,0,0,0,0.0,39,117,8048015
362,0,0,0,0,0,0.0,28,148,8048015
363,268,874,5628,1,5,0.20496012236425215,1218,4803,8048015
364,0,0,0,0,0,0.0,601,2006,8048015
365,0,0,0,0,0,0.0,151,316,8048015
366,0,0,0,0,0,0.0,3,57,8048015
367,0,0,0,0,0,0.0,126,187,8048015
368,12,82,1974,1,1,0.21984630805212163,50,130,8048015
369,0,0,0,0,0,0.0,81,184,8048015
370,0,0,0,0,0,0.0,63,19322,8048015
371,0,0,0,0,0,0.0,113,5320,8048015
372,0,0,0,0,0,0.0,147,1008,8048015
373,0,0,0,0,0,0.0,42,355,8048015
374,0,0,0,0,0,0.0,19,63,8048015
375,0,0,0,0,0,0.0,24,98,8048015
376,0,0,0,0,0,0.0,23,133,8048015
377,0,0,0,0,0,0.0,36,277,8048015
378,0,0,0,0,0,0.0,37,1252,8048015
379,0,0,0,0,0,0.0,35,387,8048015
380,0,0,0,0,0,0.0,26,230,8048015
381,0,0,0,0,0,0.0,36,172,8048015
382,0,0,0,0,0,0.0,23,101,8048015
383,0,0,0,0,0,0.0,23,124,8048015
384,0,0,0,0,0,0.0,156,594,8048015
385,0,0,0,0,0,0.0,36,312,8048015
386,0,0,0,0,0,0.0,56,319,8048015
387,0,0,0,0,0,0.0,36,136,8048015
388,0,0,0,0,0,0.0,26,94,8048015
389,0,0,0,0,0,0.0,16,163,8048015
390,0,0,0,0,0,0.0,39,307,8048015
391,0,0,0,0,0,0.0,36,297,8048015
392,2293,10961,29161,5,26,0.22266594381619237,8875,51668,8048015
393,0,0,0,0,0,0.0,39,123,8048015
394,0,0,0,0,0,0.0,40,112,8048015
395,0,0,0,0,0,0.0,120,5164,8048015
396,0,0,0,0,0,0.0,62,3825,8048015
397,0,0,0,0,0,0.0,65,3114,8048015
398,0,0,0,0,0,0.0,86,17215,8048015
399,0,0,0,0,0,0.0,78,3043,8048015
400,0,0,0,0,0,0.0,58,1779,8048015
401,0,0,0,0,0,0.0,85,5795,8048015
402,0,0,0,0,0,0.0,58,4142,8048015
403,0,0,0,0,0,0.0,156,49314,8048015
404,0,0,0,0,0,0.0,94,4353,8048015
405,0,0,0,0,0,0.0,330,13177,8048015
406,0,0,0,0,0,0.0,87,2303,8048015
407,0,0,0,0,0,0.0,83,28917,8048015
408,0,0,0,0,0,0.0,69,13223,8048015
409,0,0,0,0,0,0.0,164,8444,8048015
410,0,0,0,0,0,0.0,123,335,8048015
411,0,0,0,0,0,0.0,142,848,8048015
412,0,0,0,0,0,0.0,64,396,8048015
413,0,0,0,0,0,0.0,55,215,8048015
414,0,0,0,0,0,0.0,67,246,8048015
415,0,0,0,0,0,0.0,63,958,8048015
416,0,0,0,0,0,0.0,49,289,8048015
417,6763,145189,24117,4,19,0.2168853476262849,19702,378656,8048015
418,0,0,0,0,0,0.0,49,431,8048015
419,0,0,0,0,0,0.0,31,137,8048015
420,0,0,0,0,0,0.0,39,194,8048015
421,0,0,0,0,0,0.0,21,54,8048015
422,0,0,0,0,0,0.0,250,728,8048015
423,277,1139,4632,2,6,0.2163778203391414,774,2793,8048015
424,0,0,0,0,0,0.0,62,1896,8048015
425,0,0,0,0,0,0.0,75,1640,8048015
426,0,0,0,0,0,0.0,69,1732,8048015
427,0,0,0,0,0,0.0,60,1113,8048015
428,0,0,0,0,0,0.0,81,2743,8048015
429,0,0,0,0,0,0.0,70,6043,8048015
430,0,0,0,0,0,0.0,52,156,8048015
431,0,0,0,0,0,0.0,55,200,8048015
432,0,0,0,0,0,0.0,48,192,8048015
433,0,0,0,0,0,0.0,143,348,8048015
434,0,0,0,0,0,0.0,75,277,8048015
435,0,0,0,0,0,0.0,47,214,8048015
436,0,0,0,0,0,0.0,506,6411,8048015
437,0,0,0,0,0,0.0,59,641,8048015
438,0,0,0,0,0,0.0,46,331,8048015
439,0,0,0,0,0,0.0,68,3680,8048015
440,0,0,0,0,0,0.0,56,24046,8048015
441,0,0,0,0,0,0.0,55,700,8048015
442,0,0,0,0,0,0.0,69,32181,8048015
443,0,0,0,0,0,0.0,77,2195,8048015
444,0,0,0,0,0,0.0,67,2756,8048015
445,0,0,0,0,0,0.0,29,126,8048015
446,0,0,0,0,0,0.0,44,96,8048015
447,0,0,0,0,0,0.0,30,138,8048015
448,0,0,0,0,0,0.0,179,3465,8048015
449,0,0,0,0,0,0.0,219,1560,8048015
450,0,0,0,0,0,0.0,164,80855,8048015
451,0,0,0,0,0,0.0,167,29599,8048015
452,0,0,0,0,0,0.0,89,1758,8048015
453,0,0,0,0,0,0.0,165,1659,8048015
454,0,0,0,0,0,0.0,41,257,8048015
455,0,0,0,0,0,0.0,99,4631,8048015
456,0,0,0,0,0,0.0,182,17644,8048015
457,0,0,0,0,0,0.0,81,108767,8048015
458,0,0,0,0,0,0.0,56,231,8048015
459,0,0,0,0,0,0.0,228,1144,8048015
460,0,0,0,0,0,0.0,254,1379,8048015
461,0,0,0,0,0,0.0,76,5794,8048015
462,0,0,0,0,0,0.0,88,7583,8048015
463,0,0,0,0,0,0.0,95,3935,8048015
464,0,0,0,0,0,0.0,49,78,8048015
465,0,0,0,0,0,0.0,81,9327,8048015
466,0,0,0,0,0,0.0,41,175,8048015
467,0,0,0,0,0,0.0,42,191,8048015
468,0,0,0,0,0,0.0,38,162,8048015
